x,y,x_g,y_g,wall_top,wall_bot,wall_left,wall_right,bomb_top,bomb_bot,bomb_left,bomb_right,near_top,near_bot,near_left,near_right,action
8,11,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
8,10,16,2,False,True,False,False,False,False,False,False,False,True,True,False,left
8,9,16,2,True,False,False,False,False,False,False,False,False,True,True,False,down
9,9,16,2,False,False,True,True,False,False,False,False,False,True,True,False,down
9,10,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
9,9,16,2,False,False,True,True,False,False,False,False,False,True,True,False,down
9,8,16,2,False,True,False,False,False,False,False,False,False,True,True,False,left
8,8,16,2,False,True,False,False,False,False,False,False,False,True,True,False,left
7,8,16,2,False,False,False,True,False,False,False,False,False,True,True,False,left
7,9,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
7,10,16,2,False,False,True,False,False,False,False,False,False,True,True,False,down
8,10,16,2,False,True,False,False,False,False,False,False,False,True,True,False,left
9,10,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
9,11,16,2,False,False,True,False,False,False,False,False,False,True,True,False,down
10,11,16,2,False,False,False,False,False,False,False,True,False,True,True,False,left
11,11,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
11,10,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
11,11,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
12,11,16,2,False,False,False,True,False,False,False,False,False,True,True,False,down
12,12,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
13,12,16,2,True,False,False,False,False,False,False,False,False,True,True,False,down
12,12,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
13,12,16,2,True,False,False,False,False,False,False,False,False,True,True,False,down
14,12,16,2,False,True,False,False,False,False,False,False,False,True,True,False,left
13,12,16,2,True,False,False,False,False,False,False,False,False,True,True,False,down
0,4,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
0,3,16,2,False,False,False,False,False,False,False,False,False,True,True,False,right
0,2,16,2,False,False,False,False,False,False,False,False,False,True,False,False,right
0,2,16,2,False,False,False,False,False,False,False,False,False,True,False,False,right
1,2,16,2,False,False,False,False,False,False,True,False,False,True,False,False,right
1,3,16,2,False,True,False,False,False,False,False,False,False,True,True,False,right
0,3,16,2,False,False,False,False,False,False,False,False,False,True,True,False,right
1,3,16,2,False,True,False,False,False,False,False,False,False,True,True,False,right
0,3,16,2,False,False,False,False,False,False,False,False,False,True,True,False,right
0,4,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
1,4,16,2,False,True,False,False,False,False,False,False,False,True,True,False,right
0,4,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
1,4,16,2,False,True,False,False,False,False,False,False,False,True,True,False,right
0,4,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
1,4,16,2,False,True,False,False,False,False,False,False,False,True,True,False,right
1,3,16,2,False,True,False,False,False,False,False,False,False,True,True,False,right
1,2,16,2,False,False,False,False,False,False,True,False,False,True,False,False,right
1,3,16,2,False,True,False,False,False,False,False,False,False,True,True,False,right
1,2,16,2,False,False,False,False,False,False,True,False,False,True,False,False,right
1,1,16,2,False,False,False,False,False,False,False,False,False,True,False,True,right
1,0,16,2,False,True,False,False,False,False,False,True,False,True,False,True,up
2,0,16,2,False,False,False,False,False,True,False,False,False,True,False,True,right
1,0,16,2,False,True,False,False,False,False,False,True,False,True,False,True,up
1,0,16,2,False,True,False,False,False,False,False,True,False,True,False,True,up
1,1,16,2,False,False,False,False,False,False,False,False,False,True,False,True,right
1,2,16,2,False,False,False,False,False,False,True,False,False,True,False,False,right
2,2,16,2,False,False,False,True,False,True,False,False,False,True,False,False,up
2,1,16,2,False,False,True,False,True,True,False,False,False,True,False,True,right
3,1,16,2,False,False,False,False,False,False,True,True,False,True,False,True,down
4,1,16,2,False,False,False,False,True,False,False,False,False,True,False,True,right
4,2,16,2,False,False,False,False,True,True,False,False,False,True,False,False,right
4,3,16,2,False,False,False,False,True,False,False,True,False,True,True,False,down
5,3,16,2,False,False,False,True,False,False,True,False,False,True,True,False,down
5,4,16,2,False,False,False,False,True,False,False,False,False,True,True,False,down
5,3,16,2,False,False,False,True,False,False,True,False,False,True,True,False,down
4,3,16,2,False,False,False,False,True,False,False,True,False,True,True,False,down
4,2,16,2,False,False,False,False,True,True,False,False,False,True,False,False,right
4,1,16,2,False,False,False,False,True,False,False,False,False,True,False,True,right
4,2,16,2,False,False,False,False,True,True,False,False,False,True,False,False,right
5,2,16,2,False,False,False,False,False,False,False,False,False,True,False,False,down
6,2,16,2,False,False,False,False,True,True,False,False,False,True,False,False,right
6,1,16,2,False,False,False,False,False,False,False,False,False,True,False,True,right
7,1,16,2,False,False,False,False,False,False,False,True,False,True,False,True,down
6,1,16,2,False,False,False,False,False,False,False,False,False,True,False,True,right
5,1,16,2,False,False,False,False,False,False,True,True,False,True,False,True,down
5,2,16,2,False,False,False,False,False,False,False,False,False,True,False,False,down
5,1,16,2,False,False,False,False,False,False,True,True,False,True,False,True,down
6,1,16,2,False,False,False,False,False,False,False,False,False,True,False,True,right
6,2,16,2,False,False,False,False,True,True,False,False,False,True,False,False,right
6,3,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
6,4,16,2,True,False,False,False,False,False,False,False,False,True,True,False,down
6,5,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
5,5,16,2,False,False,True,False,False,False,False,False,False,True,True,False,right
6,5,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
5,5,16,2,False,False,True,False,False,False,False,False,False,True,True,False,right
4,5,16,2,False,False,False,False,True,False,True,False,False,True,True,False,down
5,5,16,2,False,False,True,False,False,False,False,False,False,True,True,False,right
5,6,16,2,False,False,False,False,False,False,False,False,False,True,True,False,right
5,7,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
4,7,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
5,7,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
6,7,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
5,7,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
5,8,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
6,8,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
6,7,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
6,6,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
7,6,16,2,False,False,False,False,False,False,False,False,False,True,True,False,right
6,6,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
5,6,16,2,False,False,False,False,False,False,False,False,False,True,True,False,right
6,6,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
6,5,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
7,5,16,2,False,True,False,False,False,False,False,False,False,True,True,False,left
7,4,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
8,4,16,2,False,False,True,True,False,False,False,False,False,True,True,False,down
8,5,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
8,6,16,2,False,True,True,False,False,False,False,False,False,True,True,False,right
8,5,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
7,5,16,2,False,True,False,False,False,False,False,False,False,True,True,False,left
7,6,16,2,False,False,False,False,False,False,False,False,False,True,True,False,right
7,5,16,2,False,True,False,False,False,False,False,False,False,True,True,False,left
7,6,16,2,False,False,False,False,False,False,False,False,False,True,True,False,right
6,6,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
6,7,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
6,6,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
7,6,16,2,False,False,False,False,False,False,False,False,False,True,True,False,right
6,6,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
6,7,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
5,7,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
6,7,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
7,7,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
8,7,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
7,7,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
8,7,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
8,6,16,2,False,True,True,False,False,False,False,False,False,True,True,False,right
8,5,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
9,5,16,2,True,False,False,True,False,False,False,False,False,True,True,False,down
10,5,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
11,5,16,2,False,False,True,False,False,False,False,True,False,True,True,False,down
11,4,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
10,1,16,2,False,False,False,False,False,False,False,False,False,True,False,True,right
11,1,16,2,False,False,False,False,False,False,False,False,False,True,False,True,right
11,2,16,2,False,False,False,False,False,True,False,False,False,True,False,False,right
12,2,16,2,False,False,False,False,False,False,False,False,False,True,False,False,right
12,3,16,2,False,False,False,False,False,False,True,False,False,True,True,False,down
12,4,16,2,True,False,False,False,False,False,False,False,False,True,True,False,down
13,4,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
14,4,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
15,4,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
16,4,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
16,3,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
9,18,16,2,True,False,True,False,False,True,False,False,False,True,True,False,right
9,17,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
9,16,16,2,False,False,False,True,True,False,False,False,False,True,True,False,left
10,16,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
9,16,16,2,False,False,False,True,True,False,False,False,False,True,True,False,left
9,15,16,2,False,False,False,False,True,False,False,False,False,True,True,False,left
9,16,16,2,False,False,False,True,True,False,False,False,False,True,True,False,left
9,15,16,2,False,False,False,False,True,False,False,False,False,True,True,False,left
10,15,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
11,15,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
11,14,16,2,False,False,False,False,False,False,True,False,False,True,True,False,down
11,15,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
10,15,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
9,15,16,2,False,False,False,False,True,False,False,False,False,True,True,False,left
10,15,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
